rating_id,user_id,place_id,rating_place,rating_food,rating_service,user_personal_traits,user_personality,user_preferences,user_other_demographics,user_fav_cuisines,user_fav_payment_method
19,1103,132613,2,2,2,"{birth_year: 1989, weight: 120, height: 1.9, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'hard-worker', fav_color: 'green', drink_level: 'abstemious'}","{budget: 'medium', smoker: FALSE, dress_preference: 'formal', ambience: 'friends', transport: 'public'}","{religion: 'Jewish', employment: 'professional'}",{'Mexican'},"{'cash', 'bank_debit_cards'}"
20,1103,132667,1,2,2,"{birth_year: 1989, weight: 120, height: 1.9, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'hard-worker', fav_color: 'green', drink_level: 'abstemious'}","{budget: 'medium', smoker: FALSE, dress_preference: 'formal', ambience: 'friends', transport: 'public'}","{religion: 'Jewish', employment: 'professional'}",{'Mexican'},"{'cash', 'bank_debit_cards'}"
21,1103,135104,1,2,0,"{birth_year: 1989, weight: 120, height: 1.9, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'hard-worker', fav_color: 'green', drink_level: 'abstemious'}","{budget: 'medium', smoker: FALSE, dress_preference: 'formal', ambience: 'friends', transport: 'public'}","{religion: 'Jewish', employment: 'professional'}",{'Mexican'},"{'cash', 'bank_debit_cards'}"
22,1103,132663,1,0,2,"{birth_year: 1989, weight: 120, height: 1.9, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'hard-worker', fav_color: 'green', drink_level: 'abstemious'}","{budget: 'medium', smoker: FALSE, dress_preference: 'formal', ambience: 'friends', transport: 'public'}","{religion: 'Jewish', employment: 'professional'}",{'Mexican'},"{'cash', 'bank_debit_cards'}"
23,1103,132733,2,2,2,"{birth_year: 1989, weight: 120, height: 1.9, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'hard-worker', fav_color: 'green', drink_level: 'abstemious'}","{budget: 'medium', smoker: FALSE, dress_preference: 'formal', ambience: 'friends', transport: 'public'}","{religion: 'Jewish', employment: 'professional'}",{'Mexican'},"{'cash', 'bank_debit_cards'}"
24,1107,132660,2,2,1,"{birth_year: 1989, weight: 87, height: 1.79, marital_status: 'single'}","{interest: 'variety', type_of_worker: 'hard-worker', fav_color: 'blue', drink_level: 'abstemious'}","{budget: 'high', smoker: FALSE, dress_preference: 'no preference', ambience: 'friends', transport: 'car owner'}","{religion: 'Catholic', employment: }",{'Mexican'},"{'bank_debit_cards', 'cash'}"
25,1107,132584,2,2,2,"{birth_year: 1989, weight: 87, height: 1.79, marital_status: 'single'}","{interest: 'variety', type_of_worker: 'hard-worker', fav_color: 'blue', drink_level: 'abstemious'}","{budget: 'high', smoker: FALSE, dress_preference: 'no preference', ambience: 'friends', transport: 'car owner'}","{religion: 'Catholic', employment: }",{'Mexican'},"{'bank_debit_cards', 'cash'}"
26,1107,132733,2,2,2,"{birth_year: 1989, weight: 87, height: 1.79, marital_status: 'single'}","{interest: 'variety', type_of_worker: 'hard-worker', fav_color: 'blue', drink_level: 'abstemious'}","{budget: 'high', smoker: FALSE, dress_preference: 'no preference', ambience: 'friends', transport: 'car owner'}","{religion: 'Catholic', employment: }",{'Mexican'},"{'bank_debit_cards', 'cash'}"
27,1044,135088,2,2,2,"{birth_year: 1969, weight: 85, height: 1.73, marital_status: 'married'}","{interest: 'variety', type_of_worker: 'thrifty-protector', fav_color: 'orange', drink_level: 'social drinker'}","{budget: 'medium', smoker: TRUE, dress_preference: 'informal', ambience: 'family', transport: 'car owner'}","{religion: 'Catholic', employment: 'professional'}",{'Mexican'},"{'VISA', 'bank_debit_cards', 'cash', 'MasterCard-Eurocard'}"
28,1044,132583,1,2,1,"{birth_year: 1969, weight: 85, height: 1.73, marital_status: 'married'}","{interest: 'variety', type_of_worker: 'thrifty-protector', fav_color: 'orange', drink_level: 'social drinker'}","{budget: 'medium', smoker: TRUE, dress_preference: 'informal', ambience: 'family', transport: 'car owner'}","{religion: 'Catholic', employment: 'professional'}",{'Mexican'},"{'VISA', 'bank_debit_cards', 'cash', 'MasterCard-Eurocard'}"
29,1070,132608,2,2,1,"{birth_year: 1991, weight: 47, height: 1.6, marital_status: 'single'}","{interest: 'variety', type_of_worker: 'thrifty-protector', fav_color: 'green', drink_level: 'casual drinker'}","{budget: 'low', smoker: FALSE, dress_preference: 'informal', ambience: 'friends', transport: 'public'}","{religion: 'Catholic', employment: 'student'}",{'Mexican'},{'cash'}
30,1070,132609,1,1,1,"{birth_year: 1991, weight: 47, height: 1.6, marital_status: 'single'}","{interest: 'variety', type_of_worker: 'thrifty-protector', fav_color: 'green', drink_level: 'casual drinker'}","{budget: 'low', smoker: FALSE, dress_preference: 'informal', ambience: 'friends', transport: 'public'}","{religion: 'Catholic', employment: 'student'}",{'Mexican'},{'cash'}
31,1070,132613,1,1,0,"{birth_year: 1991, weight: 47, height: 1.6, marital_status: 'single'}","{interest: 'variety', type_of_worker: 'thrifty-protector', fav_color: 'green', drink_level: 'casual drinker'}","{budget: 'low', smoker: FALSE, dress_preference: 'informal', ambience: 'friends', transport: 'public'}","{religion: 'Catholic', employment: 'student'}",{'Mexican'},{'cash'}
32,1031,132663,0,0,0,"{birth_year: 1992, weight: 40, height: 1.6, marital_status: 'married'}","{interest: 'none', type_of_worker: 'hard-worker', fav_color: 'white', drink_level: 'abstemious'}","{budget: 'medium', smoker: FALSE, dress_preference: 'informal', ambience: 'solitary', transport: }","{religion: 'Catholic', employment: 'unemployed'}",{'Mexican'},"{'cash', 'American_Express'}"
33,1031,132665,0,0,0,"{birth_year: 1992, weight: 40, height: 1.6, marital_status: 'married'}","{interest: 'none', type_of_worker: 'hard-worker', fav_color: 'white', drink_level: 'abstemious'}","{budget: 'medium', smoker: FALSE, dress_preference: 'informal', ambience: 'solitary', transport: }","{religion: 'Catholic', employment: 'unemployed'}",{'Mexican'},"{'cash', 'American_Express'}"
34,1031,132668,0,0,0,"{birth_year: 1992, weight: 40, height: 1.6, marital_status: 'married'}","{interest: 'none', type_of_worker: 'hard-worker', fav_color: 'white', drink_level: 'abstemious'}","{budget: 'medium', smoker: FALSE, dress_preference: 'informal', ambience: 'solitary', transport: }","{religion: 'Catholic', employment: 'unemployed'}",{'Mexican'},"{'cash', 'American_Express'}"
35,1082,132630,1,1,1,"{birth_year: 1989, weight: 63, height: 1.69, marital_status: 'single'}","{interest: 'variety', type_of_worker: 'hard-worker', fav_color: 'black', drink_level: 'abstemious'}","{budget: 'medium', smoker: TRUE, dress_preference: 'informal', ambience: 'friends', transport: 'public'}","{religion: 'Catholic', employment: 'student'}",{'Mexican'},{'cash'}
36,1023,132715,0,0,0,"{birth_year: 1988, weight: 103, height: 1.79, marital_status: 'single'}","{interest: 'none', type_of_worker: 'hard-worker', fav_color: 'blue', drink_level: 'casual drinker'}","{budget: 'low', smoker: FALSE, dress_preference: 'informal', ambience: 'friends', transport: 'car owner'}","{religion: 'Catholic', employment: 'student'}",{'Mexican'},{'cash'}
37,1023,132717,0,0,0,"{birth_year: 1988, weight: 103, height: 1.79, marital_status: 'single'}","{interest: 'none', type_of_worker: 'hard-worker', fav_color: 'blue', drink_level: 'casual drinker'}","{budget: 'low', smoker: FALSE, dress_preference: 'informal', ambience: 'friends', transport: 'car owner'}","{religion: 'Catholic', employment: 'student'}",{'Mexican'},{'cash'}
38,1082,132613,0,0,0,"{birth_year: 1989, weight: 63, height: 1.69, marital_status: 'single'}","{interest: 'variety', type_of_worker: 'hard-worker', fav_color: 'black', drink_level: 'abstemious'}","{budget: 'medium', smoker: TRUE, dress_preference: 'informal', ambience: 'friends', transport: 'public'}","{religion: 'Catholic', employment: 'student'}",{'Mexican'},{'cash'}
39,1082,132594,0,0,0,"{birth_year: 1989, weight: 63, height: 1.69, marital_status: 'single'}","{interest: 'variety', type_of_worker: 'hard-worker', fav_color: 'black', drink_level: 'abstemious'}","{budget: 'medium', smoker: TRUE, dress_preference: 'informal', ambience: 'friends', transport: 'public'}","{religion: 'Catholic', employment: 'student'}",{'Mexican'},{'cash'}
40,1082,132608,0,0,0,"{birth_year: 1989, weight: 63, height: 1.69, marital_status: 'single'}","{interest: 'variety', type_of_worker: 'hard-worker', fav_color: 'black', drink_level: 'abstemious'}","{budget: 'medium', smoker: TRUE, dress_preference: 'informal', ambience: 'friends', transport: 'public'}","{religion: 'Catholic', employment: 'student'}",{'Mexican'},{'cash'}
41,1082,132609,0,0,0,"{birth_year: 1989, weight: 63, height: 1.69, marital_status: 'single'}","{interest: 'variety', type_of_worker: 'hard-worker', fav_color: 'black', drink_level: 'abstemious'}","{budget: 'medium', smoker: TRUE, dress_preference: 'informal', ambience: 'friends', transport: 'public'}","{religion: 'Catholic', employment: 'student'}",{'Mexican'},{'cash'}
42,1082,132663,0,0,0,"{birth_year: 1989, weight: 63, height: 1.69, marital_status: 'single'}","{interest: 'variety', type_of_worker: 'hard-worker', fav_color: 'black', drink_level: 'abstemious'}","{budget: 'medium', smoker: TRUE, dress_preference: 'informal', ambience: 'friends', transport: 'public'}","{religion: 'Catholic', employment: 'student'}",{'Mexican'},{'cash'}
43,1082,132560,0,0,0,"{birth_year: 1989, weight: 63, height: 1.69, marital_status: 'single'}","{interest: 'variety', type_of_worker: 'hard-worker', fav_color: 'black', drink_level: 'abstemious'}","{budget: 'medium', smoker: TRUE, dress_preference: 'informal', ambience: 'friends', transport: 'public'}","{religion: 'Catholic', employment: 'student'}",{'Mexican'},{'cash'}
44,1060,132564,2,2,2,"{birth_year: 1991, weight: 82, height: 1.84, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'thrifty-protector', fav_color: 'blue', drink_level: 'casual drinker'}","{budget: 'medium', smoker: FALSE, dress_preference: 'formal', ambience: 'family', transport: 'public'}","{religion: 'Catholic', employment: 'student'}","{'Burgers', 'Cafeteria', 'Pizzeria', 'Juice', 'American', 'Tex-Mex', 'Spanish', 'Mexican', 'Fast_Food', 'Cafe-Coffee_Shop', 'Soup', 'Hot_Dogs', 'Italian'}",{'cash'}
45,1060,132717,2,2,2,"{birth_year: 1991, weight: 82, height: 1.84, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'thrifty-protector', fav_color: 'blue', drink_level: 'casual drinker'}","{budget: 'medium', smoker: FALSE, dress_preference: 'formal', ambience: 'family', transport: 'public'}","{religion: 'Catholic', employment: 'student'}","{'Burgers', 'Cafeteria', 'Pizzeria', 'Juice', 'American', 'Tex-Mex', 'Spanish', 'Mexican', 'Fast_Food', 'Cafe-Coffee_Shop', 'Soup', 'Hot_Dogs', 'Italian'}",{'cash'}
46,1060,132733,2,1,2,"{birth_year: 1991, weight: 82, height: 1.84, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'thrifty-protector', fav_color: 'blue', drink_level: 'casual drinker'}","{budget: 'medium', smoker: FALSE, dress_preference: 'formal', ambience: 'family', transport: 'public'}","{religion: 'Catholic', employment: 'student'}","{'Burgers', 'Cafeteria', 'Pizzeria', 'Juice', 'American', 'Tex-Mex', 'Spanish', 'Mexican', 'Fast_Food', 'Cafe-Coffee_Shop', 'Soup', 'Hot_Dogs', 'Italian'}",{'cash'}
47,1060,132740,1,2,1,"{birth_year: 1991, weight: 82, height: 1.84, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'thrifty-protector', fav_color: 'blue', drink_level: 'casual drinker'}","{budget: 'medium', smoker: FALSE, dress_preference: 'formal', ambience: 'family', transport: 'public'}","{religion: 'Catholic', employment: 'student'}","{'Burgers', 'Cafeteria', 'Pizzeria', 'Juice', 'American', 'Tex-Mex', 'Spanish', 'Mexican', 'Fast_Food', 'Cafe-Coffee_Shop', 'Soup', 'Hot_Dogs', 'Italian'}",{'cash'}
48,1015,135071,0,0,0,"{birth_year: 1989, weight: 87, height: 1.67, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'thrifty-protector', fav_color: 'black', drink_level: 'social drinker'}","{budget: 'medium', smoker: TRUE, dress_preference: 'informal', ambience: 'family', transport: 'public'}","{religion: 'Catholic', employment: 'student'}",{'Mexican'},{'cash'}
49,1123,132733,1,2,1,"{birth_year: 1987, weight: 110, height: 1.75, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'hard-worker', fav_color: 'green', drink_level: 'abstemious'}","{budget: 'medium', smoker: FALSE, dress_preference: 'informal', ambience: 'family', transport: }","{religion: 'Catholic', employment: 'student'}",{'Mexican'},{'cash'}
50,1123,132608,1,2,1,"{birth_year: 1987, weight: 110, height: 1.75, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'hard-worker', fav_color: 'green', drink_level: 'abstemious'}","{budget: 'medium', smoker: FALSE, dress_preference: 'informal', ambience: 'family', transport: }","{religion: 'Catholic', employment: 'student'}",{'Mexican'},{'cash'}
51,1123,135104,2,2,2,"{birth_year: 1987, weight: 110, height: 1.75, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'hard-worker', fav_color: 'green', drink_level: 'abstemious'}","{budget: 'medium', smoker: FALSE, dress_preference: 'informal', ambience: 'family', transport: }","{religion: 'Catholic', employment: 'student'}",{'Mexican'},{'cash'}
52,1123,132584,1,2,0,"{birth_year: 1987, weight: 110, height: 1.75, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'hard-worker', fav_color: 'green', drink_level: 'abstemious'}","{budget: 'medium', smoker: FALSE, dress_preference: 'informal', ambience: 'family', transport: }","{religion: 'Catholic', employment: 'student'}",{'Mexican'},{'cash'}
53,1123,132667,1,2,1,"{birth_year: 1987, weight: 110, height: 1.75, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'hard-worker', fav_color: 'green', drink_level: 'abstemious'}","{budget: 'medium', smoker: FALSE, dress_preference: 'informal', ambience: 'family', transport: }","{religion: 'Catholic', employment: 'student'}",{'Mexican'},{'cash'}
54,1123,132740,1,1,1,"{birth_year: 1987, weight: 110, height: 1.75, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'hard-worker', fav_color: 'green', drink_level: 'abstemious'}","{budget: 'medium', smoker: FALSE, dress_preference: 'informal', ambience: 'family', transport: }","{religion: 'Catholic', employment: 'student'}",{'Mexican'},{'cash'}
55,1123,132613,1,2,1,"{birth_year: 1987, weight: 110, height: 1.75, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'hard-worker', fav_color: 'green', drink_level: 'abstemious'}","{budget: 'medium', smoker: FALSE, dress_preference: 'informal', ambience: 'family', transport: }","{religion: 'Catholic', employment: 'student'}",{'Mexican'},{'cash'}
56,1123,132594,1,1,1,"{birth_year: 1987, weight: 110, height: 1.75, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'hard-worker', fav_color: 'green', drink_level: 'abstemious'}","{budget: 'medium', smoker: FALSE, dress_preference: 'informal', ambience: 'family', transport: }","{religion: 'Catholic', employment: 'student'}",{'Mexican'},{'cash'}
57,1021,132740,2,2,1,"{birth_year: 1984, weight: 108, height: 1.62, marital_status: 'single'}","{interest: 'none', type_of_worker: 'hard-worker', fav_color: 'purple', drink_level: 'social drinker'}","{budget: 'medium', smoker: FALSE, dress_preference: 'no preference', ambience: 'family', transport: 'car owner'}","{religion: 'Catholic', employment: 'student'}","{'Pizzeria', 'Regional', 'Chinese', 'Burgers'}",{'cash'}
58,1026,132626,2,2,2,"{birth_year: 1989, weight: 49, height: 1.55, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'hunter-ostentatious', fav_color: 'red', drink_level: 'abstemious'}","{budget: 'medium', smoker: FALSE, dress_preference: 'formal', ambience: 'family', transport: 'public'}","{religion: 'Catholic', employment: 'student'}",{'Mexican'},"{'cash', 'bank_debit_cards'}"
59,1021,132668,2,2,2,"{birth_year: 1984, weight: 108, height: 1.62, marital_status: 'single'}","{interest: 'none', type_of_worker: 'hard-worker', fav_color: 'purple', drink_level: 'social drinker'}","{budget: 'medium', smoker: FALSE, dress_preference: 'no preference', ambience: 'family', transport: 'car owner'}","{religion: 'Catholic', employment: 'student'}","{'Pizzeria', 'Regional', 'Chinese', 'Burgers'}",{'cash'}
60,1021,132715,2,2,1,"{birth_year: 1984, weight: 108, height: 1.62, marital_status: 'single'}","{interest: 'none', type_of_worker: 'hard-worker', fav_color: 'purple', drink_level: 'social drinker'}","{budget: 'medium', smoker: FALSE, dress_preference: 'no preference', ambience: 'family', transport: 'car owner'}","{religion: 'Catholic', employment: 'student'}","{'Pizzeria', 'Regional', 'Chinese', 'Burgers'}",{'cash'}
61,1044,134987,0,0,0,"{birth_year: 1969, weight: 85, height: 1.73, marital_status: 'married'}","{interest: 'variety', type_of_worker: 'thrifty-protector', fav_color: 'orange', drink_level: 'social drinker'}","{budget: 'medium', smoker: TRUE, dress_preference: 'informal', ambience: 'family', transport: 'car owner'}","{religion: 'Catholic', employment: 'professional'}",{'Mexican'},"{'VISA', 'bank_debit_cards', 'cash', 'MasterCard-Eurocard'}"
62,1083,135034,2,2,2,"{birth_year: 1981, weight: 40, height: 1.6, marital_status: }","{interest: 'none', type_of_worker: 'hard-worker', fav_color: 'yellow', drink_level: 'abstemious'}","{budget: , smoker: FALSE, dress_preference: , ambience: , transport: }","{religion: 'none', employment: }",{'Mexican'},{'cash'}
63,1083,132723,1,1,1,"{birth_year: 1981, weight: 40, height: 1.6, marital_status: }","{interest: 'none', type_of_worker: 'hard-worker', fav_color: 'yellow', drink_level: 'abstemious'}","{budget: , smoker: FALSE, dress_preference: , ambience: , transport: }","{religion: 'none', employment: }",{'Mexican'},{'cash'}
64,1083,135046,2,2,1,"{birth_year: 1981, weight: 40, height: 1.6, marital_status: }","{interest: 'none', type_of_worker: 'hard-worker', fav_color: 'yellow', drink_level: 'abstemious'}","{budget: , smoker: FALSE, dress_preference: , ambience: , transport: }","{religion: 'none', employment: }",{'Mexican'},{'cash'}
65,1108,135075,2,2,2,"{birth_year: 1983, weight: 76, height: 1.81, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'thrifty-protector', fav_color: 'blue', drink_level: 'abstemious'}","{budget: 'medium', smoker: FALSE, dress_preference: 'informal', ambience: 'solitary', transport: 'public'}","{religion: 'Catholic', employment: 'student'}","{'Cafe-Coffee_Shop', 'Sushi', 'Latin_American', 'Deli-Sandwiches', 'Mexican', 'Hot_Dogs', 'American', 'Fast_Food', 'Burgers', 'Asian', 'Pizzeria', 'Chinese', 'Dessert-Ice_Cream', 'Cafeteria', 'Japanese', 'Game', 'Family', 'Seafood'}","{'VISA', 'cash', 'MasterCard-Eurocard'}"
66,1108,132572,1,2,1,"{birth_year: 1983, weight: 76, height: 1.81, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'thrifty-protector', fav_color: 'blue', drink_level: 'abstemious'}","{budget: 'medium', smoker: FALSE, dress_preference: 'informal', ambience: 'solitary', transport: 'public'}","{religion: 'Catholic', employment: 'student'}","{'Cafe-Coffee_Shop', 'Sushi', 'Latin_American', 'Deli-Sandwiches', 'Mexican', 'Hot_Dogs', 'American', 'Fast_Food', 'Burgers', 'Asian', 'Pizzeria', 'Chinese', 'Dessert-Ice_Cream', 'Cafeteria', 'Japanese', 'Game', 'Family', 'Seafood'}","{'VISA', 'cash', 'MasterCard-Eurocard'}"
67,1108,135074,2,2,1,"{birth_year: 1983, weight: 76, height: 1.81, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'thrifty-protector', fav_color: 'blue', drink_level: 'abstemious'}","{budget: 'medium', smoker: FALSE, dress_preference: 'informal', ambience: 'solitary', transport: 'public'}","{religion: 'Catholic', employment: 'student'}","{'Cafe-Coffee_Shop', 'Sushi', 'Latin_American', 'Deli-Sandwiches', 'Mexican', 'Hot_Dogs', 'American', 'Fast_Food', 'Burgers', 'Asian', 'Pizzeria', 'Chinese', 'Dessert-Ice_Cream', 'Cafeteria', 'Japanese', 'Game', 'Family', 'Seafood'}","{'VISA', 'cash', 'MasterCard-Eurocard'}"
68,1108,135028,1,1,1,"{birth_year: 1983, weight: 76, height: 1.81, marital_status: 'single'}","{interest: 'technology', type_of_worker: 'thrifty-protector', fav_color: 'blue', drink_level: 'abstemious'}","{budget: 'medium', smoker: FALSE, dress_preference: 'informal', ambience: 'solitary', transport: 'public'}","{religion: 'Catholic', employment: 'student'}","{'Cafe-Coffee_Shop', 'Sushi', 'Latin_American', 'Deli-Sandwiches', 'Mexican', 'Hot_Dogs', 'American', 'Fast_Food', 'Burgers', 'Asian', 'Pizzeria', 'Chinese', 'Dessert-Ice_Cream', 'Cafeteria', 'Japanese', 'Game', 'Family', 'Seafood'}","{'VISA', 'cash', 'MasterCard-Eurocard'}"
