rating_id,user_id,place_id,rating_place,rating_food,rating_service,place_name,place_address,place_features,parking_arrangements,accepted_payment_modes,cuisines
13,1067,132630,1,0,1,palomo tec,"{street: 'blvrd emilio portes gil', city: 'victoria', state: 'tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'none', dress_code: 'informal', accessibility: 'completely', price: 'low', franchise: 'f', area: 'closed', other_services: 'none'}",none,{'any'},{'Mexican'}
14,1067,135104,0,0,0,vips,"{street: , city: , state: , country: 'Mexico'}","{alcohol: 'Full_Bar', smoking_area: 'not permitted', dress_code: 'informal', accessibility: 'completely', price: 'medium', franchise: 't', area: 'closed', other_services: 'variety'}",yes,"{'cash', ' VISA', ' MasterCard-Eurocard'}",{'Mexican'}
15,1067,132560,1,0,0,puesto de gorditas,"{street: 'frente al tecnologico', city: 'victoria', state: 'tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'permitted', dress_code: 'informal', accessibility: 'no_accessibility', price: 'low', franchise: 'f', area: 'open', other_services: 'none'}",public,{'cash'},{'Regional'}
16,1103,132584,1,2,1,Gorditas Dona Tota,"{street: , city: , state: , country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'not permitted', dress_code: 'informal', accessibility: 'completely', price: 'medium', franchise: 't', area: 'closed', other_services: 'none'}",yes,{'cash'},{'Mexican'}
17,1103,132732,0,0,2,Taqueria EL amigo,"{street: 'Calle Mezquite Fracc Framboyanes', city: 'Cd Victoria', state: 'Tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'none', dress_code: 'casual', accessibility: 'completely', price: 'low', franchise: 'f', area: 'open', other_services: 'none'}",none,{'cash'},{'Mexican'}
18,1103,132630,1,2,0,palomo tec,"{street: 'blvrd emilio portes gil', city: 'victoria', state: 'tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'none', dress_code: 'informal', accessibility: 'completely', price: 'low', franchise: 'f', area: 'closed', other_services: 'none'}",none,{'any'},{'Mexican'}
19,1103,132613,2,2,2,carnitas_mata,"{street: 'lic. Emilio portes gil', city: 'victoria', state: 'Tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'permitted', dress_code: 'informal', accessibility: 'completely', price: 'medium', franchise: 't', area: 'closed', other_services: 'none'}",yes,{'cash'},{'Mexican'}
20,1103,132667,1,2,2,little pizza Emilio Portes Gil,"{street: 'calle emilio portes gil', city: 'victoria', state: 'tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'none', dress_code: 'informal', accessibility: 'completely', price: 'low', franchise: 't', area: 'closed', other_services: 'none'}",none,{'cash'},{'Armenian'}
21,1103,135104,1,2,0,vips,"{street: , city: , state: , country: 'Mexico'}","{alcohol: 'Full_Bar', smoking_area: 'not permitted', dress_code: 'informal', accessibility: 'completely', price: 'medium', franchise: 't', area: 'closed', other_services: 'variety'}",yes,"{'cash', ' VISA', ' MasterCard-Eurocard'}",{'Mexican'}
22,1103,132663,1,0,2,tacos abi,"{street: , city: 'victoria', state: 'tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'none', dress_code: 'informal', accessibility: 'completely', price: 'low', franchise: 'f', area: 'closed', other_services: 'none'}",none,{'any'},{'Mexican'}
23,1103,132733,2,2,2,Little Cesarz,"{street: , city: 'Ciudad Victoria', state: 'Tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'not permitted', dress_code: 'informal', accessibility: 'completely', price: 'medium', franchise: 't', area: 'closed', other_services: 'none'}",yes,"{'cash', ' VISA', ' MasterCard-Eurocard', ' bank_debit_cards'}",{'Pizzeria'}
24,1107,132660,2,2,1,carnitas mata calle Emilio Portes Gil,"{street: 'Emilio Portes Gil', city: 'victoria', state: 'tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'none', dress_code: 'informal', accessibility: 'completely', price: 'low', franchise: 'f', area: 'closed', other_services: 'none'}",none,{'any'},{}
25,1107,132584,2,2,2,Gorditas Dona Tota,"{street: , city: , state: , country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'not permitted', dress_code: 'informal', accessibility: 'completely', price: 'medium', franchise: 't', area: 'closed', other_services: 'none'}",yes,{'cash'},{'Mexican'}
26,1107,132733,2,2,2,Little Cesarz,"{street: , city: 'Ciudad Victoria', state: 'Tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'not permitted', dress_code: 'informal', accessibility: 'completely', price: 'medium', franchise: 't', area: 'closed', other_services: 'none'}",yes,"{'cash', ' VISA', ' MasterCard-Eurocard', ' bank_debit_cards'}",{'Pizzeria'}
27,1044,135088,2,2,2,Cafeteria cenidet,"{street: 'Interior Internado Palmira SN', city: 'Cuernavaca', state: 'Morelos', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'not permitted', dress_code: 'informal', accessibility: 'no_accessibility', price: 'low', franchise: 'f', area: 'closed', other_services: 'none'}",public,{'cash'},{'Cafeteria'}
28,1044,132583,1,2,1,McDonalds Centro,"{street: 'Rayon sn col. Centro', city: 'Cuernavaca', state: 'Morelos', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'not permitted', dress_code: 'informal', accessibility: 'partially', price: 'low', franchise: 't', area: 'closed', other_services: 'none'}",none,"{'cash', ' VISA', ' MasterCard-Eurocard', ' bank_debit_cards'}",{'American'}
29,1070,132608,2,2,1,Hamburguesas La perica,"{street: 'cd. mier', city: 'victoria', state: 'Tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'permitted', dress_code: 'informal', accessibility: 'completely', price: 'low', franchise: 't', area: 'open', other_services: 'none'}",public,{'cash'},{'Mexican'}
30,1070,132609,1,1,1,Pollo_Frito_Buenos_Aires,"{street: 'tampico', city: 'victoria', state: 'Tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'not permitted', dress_code: 'informal', accessibility: 'completely', price: 'low', franchise: 't', area: 'closed', other_services: 'none'}",yes,{'cash'},{'Fast_Food'}
31,1070,132613,1,1,0,carnitas_mata,"{street: 'lic. Emilio portes gil', city: 'victoria', state: 'Tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'permitted', dress_code: 'informal', accessibility: 'completely', price: 'medium', franchise: 't', area: 'closed', other_services: 'none'}",yes,{'cash'},{'Mexican'}
32,1031,132663,0,0,0,tacos abi,"{street: , city: 'victoria', state: 'tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'none', dress_code: 'informal', accessibility: 'completely', price: 'low', franchise: 'f', area: 'closed', other_services: 'none'}",none,{'any'},{'Mexican'}
33,1031,132665,0,0,0,TACOS CORRECAMINOS,"{street: , city: 'victoria', state: 'tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'none', dress_code: 'informal', accessibility: 'completely', price: 'low', franchise: 'f', area: 'closed', other_services: 'none'}",none,{'any'},{'Mexican'}
34,1031,132668,0,0,0,TACOS EL GUERO,"{street: , city: 'victoria', state: 'tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'none', dress_code: 'informal', accessibility: 'completely', price: 'low', franchise: 'f', area: 'closed', other_services: 'none'}",none,{'any'},{'Mexican'}
35,1082,132630,1,1,1,palomo tec,"{street: 'blvrd emilio portes gil', city: 'victoria', state: 'tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'none', dress_code: 'informal', accessibility: 'completely', price: 'low', franchise: 'f', area: 'closed', other_services: 'none'}",none,{'any'},{'Mexican'}
36,1023,132715,0,0,0,tacos de la estacion,"{street: , city: , state: , country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'none', dress_code: 'informal', accessibility: 'no_accessibility', price: 'low', franchise: 'f', area: 'open', other_services: 'none'}",none,{'cash'},{'Mexican'}
37,1023,132717,0,0,0,tortas hawai,"{street: , city: , state: , country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'not permitted', dress_code: 'informal', accessibility: 'partially', price: 'medium', franchise: 'f', area: 'closed', other_services: 'none'}",public,{'cash'},{'Fast_Food'}
38,1082,132613,0,0,0,carnitas_mata,"{street: 'lic. Emilio portes gil', city: 'victoria', state: 'Tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'permitted', dress_code: 'informal', accessibility: 'completely', price: 'medium', franchise: 't', area: 'closed', other_services: 'none'}",yes,{'cash'},{'Mexican'}
39,1082,132594,0,0,0,tacos de barbacoa enfrente del Tec,"{street: , city: , state: , country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'not permitted', dress_code: 'informal', accessibility: 'completely', price: 'low', franchise: 'f', area: 'open', other_services: 'none'}",public,{'cash'},{'Mexican'}
40,1082,132608,0,0,0,Hamburguesas La perica,"{street: 'cd. mier', city: 'victoria', state: 'Tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'permitted', dress_code: 'informal', accessibility: 'completely', price: 'low', franchise: 't', area: 'open', other_services: 'none'}",public,{'cash'},{'Mexican'}
41,1082,132609,0,0,0,Pollo_Frito_Buenos_Aires,"{street: 'tampico', city: 'victoria', state: 'Tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'not permitted', dress_code: 'informal', accessibility: 'completely', price: 'low', franchise: 't', area: 'closed', other_services: 'none'}",yes,{'cash'},{'Fast_Food'}
42,1082,132663,0,0,0,tacos abi,"{street: , city: 'victoria', state: 'tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'none', dress_code: 'informal', accessibility: 'completely', price: 'low', franchise: 'f', area: 'closed', other_services: 'none'}",none,{'any'},{'Mexican'}
43,1082,132560,0,0,0,puesto de gorditas,"{street: 'frente al tecnologico', city: 'victoria', state: 'tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'permitted', dress_code: 'informal', accessibility: 'no_accessibility', price: 'low', franchise: 'f', area: 'open', other_services: 'none'}",public,{'cash'},{'Regional'}
44,1060,132564,2,2,2,churchs,"{street: , city: , state: , country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'none', dress_code: 'informal', accessibility: 'completely', price: 'low', franchise: 'f', area: 'closed', other_services: 'none'}",none,{'any'},{}
45,1060,132717,2,2,2,tortas hawai,"{street: , city: , state: , country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'not permitted', dress_code: 'informal', accessibility: 'partially', price: 'medium', franchise: 'f', area: 'closed', other_services: 'none'}",public,{'cash'},{'Fast_Food'}
46,1060,132733,2,1,2,Little Cesarz,"{street: , city: 'Ciudad Victoria', state: 'Tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'not permitted', dress_code: 'informal', accessibility: 'completely', price: 'medium', franchise: 't', area: 'closed', other_services: 'none'}",yes,"{'cash', ' VISA', ' MasterCard-Eurocard', ' bank_debit_cards'}",{'Pizzeria'}
47,1060,132740,1,2,1,Carreton de Flautas y Migadas,"{street: , city: 'Ciudad Victoria', state: 'Tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'permitted', dress_code: 'informal', accessibility: 'completely', price: 'low', franchise: 'f', area: 'open', other_services: 'none'}",none,{'cash'},{'Mexican'}
48,1015,135071,0,0,0,Restaurante la Cantina,"{street: 'De La Estrella 2005 Estrella de Oriente', city: 'San Luis Potosi', state: 'SLP', country: 'Mexico'}","{alcohol: 'Full_Bar', smoking_area: 'section', dress_code: 'informal', accessibility: 'no_accessibility', price: 'medium', franchise: 'f', area: 'closed', other_services: 'none'}",yes,"{'cash', ' VISA', ' MasterCard-Eurocard', ' American_Express'}","{'Bar', ' Bar_Pub_Brewery'}"
49,1123,132733,1,2,1,Little Cesarz,"{street: , city: 'Ciudad Victoria', state: 'Tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'not permitted', dress_code: 'informal', accessibility: 'completely', price: 'medium', franchise: 't', area: 'closed', other_services: 'none'}",yes,"{'cash', ' VISA', ' MasterCard-Eurocard', ' bank_debit_cards'}",{'Pizzeria'}
50,1123,132608,1,2,1,Hamburguesas La perica,"{street: 'cd. mier', city: 'victoria', state: 'Tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'permitted', dress_code: 'informal', accessibility: 'completely', price: 'low', franchise: 't', area: 'open', other_services: 'none'}",public,{'cash'},{'Mexican'}
51,1123,135104,2,2,2,vips,"{street: , city: , state: , country: 'Mexico'}","{alcohol: 'Full_Bar', smoking_area: 'not permitted', dress_code: 'informal', accessibility: 'completely', price: 'medium', franchise: 't', area: 'closed', other_services: 'variety'}",yes,"{'cash', ' VISA', ' MasterCard-Eurocard'}",{'Mexican'}
52,1123,132584,1,2,0,Gorditas Dona Tota,"{street: , city: , state: , country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'not permitted', dress_code: 'informal', accessibility: 'completely', price: 'medium', franchise: 't', area: 'closed', other_services: 'none'}",yes,{'cash'},{'Mexican'}
53,1123,132667,1,2,1,little pizza Emilio Portes Gil,"{street: 'calle emilio portes gil', city: 'victoria', state: 'tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'none', dress_code: 'informal', accessibility: 'completely', price: 'low', franchise: 't', area: 'closed', other_services: 'none'}",none,{'cash'},{'Armenian'}
54,1123,132740,1,1,1,Carreton de Flautas y Migadas,"{street: , city: 'Ciudad Victoria', state: 'Tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'permitted', dress_code: 'informal', accessibility: 'completely', price: 'low', franchise: 'f', area: 'open', other_services: 'none'}",none,{'cash'},{'Mexican'}
55,1123,132613,1,2,1,carnitas_mata,"{street: 'lic. Emilio portes gil', city: 'victoria', state: 'Tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'permitted', dress_code: 'informal', accessibility: 'completely', price: 'medium', franchise: 't', area: 'closed', other_services: 'none'}",yes,{'cash'},{'Mexican'}
56,1123,132594,1,1,1,tacos de barbacoa enfrente del Tec,"{street: , city: , state: , country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'not permitted', dress_code: 'informal', accessibility: 'completely', price: 'low', franchise: 'f', area: 'open', other_services: 'none'}",public,{'cash'},{'Mexican'}
57,1021,132740,2,2,1,Carreton de Flautas y Migadas,"{street: , city: 'Ciudad Victoria', state: 'Tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'permitted', dress_code: 'informal', accessibility: 'completely', price: 'low', franchise: 'f', area: 'open', other_services: 'none'}",none,{'cash'},{'Mexican'}
58,1026,132626,2,2,2,la perica hamburguesa,"{street: , city: 'victoria', state: 'tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'none', dress_code: 'informal', accessibility: 'completely', price: 'medium', franchise: 't', area: 'closed', other_services: 'none'}",yes,"{'cash', ' American_Express'}",{'Italian'}
59,1021,132668,2,2,2,TACOS EL GUERO,"{street: , city: 'victoria', state: 'tamaulipas', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'none', dress_code: 'informal', accessibility: 'completely', price: 'low', franchise: 'f', area: 'closed', other_services: 'none'}",none,{'any'},{'Mexican'}
60,1021,132715,2,2,1,tacos de la estacion,"{street: , city: , state: , country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'none', dress_code: 'informal', accessibility: 'no_accessibility', price: 'low', franchise: 'f', area: 'open', other_services: 'none'}",none,{'cash'},{'Mexican'}
61,1044,134987,0,0,0,Chilis Cuernavaca,"{street: 'Rio Mayo Colonia Vista Hermosa Esq. Rio Balsas', city: 'Cuernavaca', state: 'Morelos', country: 'Mexico'}","{alcohol: 'Wine-Beer', smoking_area: 'none', dress_code: 'informal', accessibility: 'no_accessibility', price: 'medium', franchise: 'f', area: 'closed', other_services: 'none'}",none,{'cash'},{}
62,1083,135034,2,2,2,Michiko Restaurant Japones,"{street: 'Cordillera de Los Alpes 160 Lomas 2 Seccion', city: 'San Luis Potosi', state: 'SLP', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'none', dress_code: 'informal', accessibility: 'no_accessibility', price: 'medium', franchise: 'f', area: 'closed', other_services: 'none'}",none,"{'cash', ' VISA', ' MasterCard-Eurocard', ' American_Express'}",{'Japanese'}
63,1083,132723,1,1,1,Gordas de morales,"{street: , city: , state: 'San Luis Potosi', country: 'Mexico'}","{alcohol: 'Full_Bar', smoking_area: 'section', dress_code: 'informal', accessibility: 'completely', price: 'medium', franchise: 'f', area: 'closed', other_services: 'none'}",public,"{'cash', ' VISA'}",{'Mexican'}
64,1083,135046,2,2,1,Restaurante El Reyecito,"{street: 'Agricultura 595 del Valle', city: 'San Luis Potosi', state: 'SLP', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'none', dress_code: 'informal', accessibility: 'no_accessibility', price: 'medium', franchise: 'f', area: 'closed', other_services: 'none'}",yes,"{'cash', ' VISA', ' MasterCard-Eurocard'}",{'Fast_Food'}
65,1108,135075,2,2,2,Mariscos El Pescador,"{street: 'Himno Nacional 2104 Tangamanga', city: 'San Luis Potosi', state: 'SLP', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'none', dress_code: 'informal', accessibility: 'no_accessibility', price: 'medium', franchise: 'f', area: 'closed', other_services: 'none'}",yes,{'cash'},{'Seafood'}
66,1108,132572,1,2,1,Cafe Chaires,"{street: , city: 'San Luis Potosi', state: 'San Luis Potosi', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'not permitted', dress_code: 'informal', accessibility: 'completely', price: 'low', franchise: 'f', area: 'closed', other_services: 'none'}",yes,{'cash'},{'Cafeteria'}
67,1108,135074,2,2,1,Restaurante la Parroquia Potosina,"{street: 'Venustiano Carranza 303 Centro', city: 'San Luis Potosi', state: 'SLP', country: 'Mexico'}","{alcohol: 'Wine-Beer', smoking_area: 'section', dress_code: 'informal', accessibility: 'no_accessibility', price: 'high', franchise: 'f', area: 'closed', other_services: 'none'}",public,"{'cash', ' VISA', ' MasterCard-Eurocard'}",{'Contemporary'}
68,1108,135028,1,1,1,La Virreina,"{street: 'Av. Carranza 830', city: 'San Luis Potosi', state: 'SLP', country: 'Mexico'}","{alcohol: 'Wine-Beer', smoking_area: 'none', dress_code: 'informal', accessibility: 'no_accessibility', price: 'medium', franchise: 'f', area: 'closed', other_services: 'none'}",none,"{'cash', ' VISA', ' MasterCard-Eurocard', ' American_Express'}",{'Mexican'}
69,1108,135085,1,2,1,Tortas Locas Hipocampo,"{street: 'Venustiano Carranza 719 Centro', city: 'San Luis Potosi', state: 'SLP', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'not permitted', dress_code: 'informal', accessibility: 'no_accessibility', price: 'medium', franchise: 'f', area: 'closed', other_services: 'none'}",public,{'cash'},{'Fast_Food'}
70,1108,135032,2,1,2,Cafeteria y Restaurant El Pacifico,"{street: 'Constitucion 200 Centro', city: 'San Luis Potosi', state: 'SLP', country: 'Mexico'}","{alcohol: 'Wine-Beer', smoking_area: 'section', dress_code: 'informal', accessibility: 'no_accessibility', price: 'medium', franchise: 'f', area: 'closed', other_services: 'none'}",public,"{'cash', ' VISA', ' MasterCard-Eurocard'}","{'Cafeteria', ' Contemporary'}"
71,1108,135086,1,1,0,Mcdonalds Parque Tangamanga,"{street: 'Lateral Salvador Nava Martinez 3145', city: 'San Luis Potosi', state: 'SLP', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'not permitted', dress_code: 'informal', accessibility: 'no_accessibility', price: 'medium', franchise: 't', area: 'closed', other_services: 'none'}",yes,"{'cash', ' VISA', ' MasterCard-Eurocard'}","{'Burgers', ' Fast_Food'}"
72,1108,132723,2,2,2,Gordas de morales,"{street: , city: , state: 'San Luis Potosi', country: 'Mexico'}","{alcohol: 'Full_Bar', smoking_area: 'section', dress_code: 'informal', accessibility: 'completely', price: 'medium', franchise: 'f', area: 'closed', other_services: 'none'}",public,"{'cash', ' VISA'}",{'Mexican'}
73,1108,135046,1,2,1,Restaurante El Reyecito,"{street: 'Agricultura 595 del Valle', city: 'San Luis Potosi', state: 'SLP', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'none', dress_code: 'informal', accessibility: 'no_accessibility', price: 'medium', franchise: 'f', area: 'closed', other_services: 'none'}",yes,"{'cash', ' VISA', ' MasterCard-Eurocard'}",{'Fast_Food'}
74,1108,135058,1,1,1,Restaurante Tiberius,"{street: 'Munoz Sn Centro', city: 'San Luis Potosi', state: 'SLP', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'none', dress_code: 'informal', accessibility: 'no_accessibility', price: 'medium', franchise: 't', area: 'closed', other_services: 'none'}",public,"{'cash', ' VISA', ' MasterCard-Eurocard'}",{'Pizzeria'}
75,1012,135001,1,1,2,Vips,"{street: 'Emiliano Zapata No. 825 Tlaltenongo', city: 'Cuernavaca', state: 'Morelos', country: 'Mexico'}","{alcohol: 'Wine-Beer', smoking_area: 'none', dress_code: 'informal', accessibility: 'completely', price: 'medium', franchise: 't', area: 'closed', other_services: 'none'}",yes,"{'cash', ' VISA', ' MasterCard-Eurocard', ' American_Express'}",{}
76,1012,134983,2,2,2,Restaurant and Bar and Clothesline Carlos N Charlies,"{street: 'Domingo 10 711 El Empleado', city: 'Cuernavaca', state: 'Morelos', country: 'Mexico'}","{alcohol: 'Full_Bar', smoking_area: 'section', dress_code: 'informal', accessibility: 'no_accessibility', price: 'high', franchise: 'f', area: 'closed', other_services: 'none'}",yes,"{'cash', ' VISA', ' MasterCard-Eurocard'}","{'Bar', ' Bar_Pub_Brewery'}"
77,1012,134996,2,2,2,Sanborns Casa Piedra,"{street: 'Lomas del Mirador', city: 'Cuernavaca', state: 'Morelos', country: 'Mexico'}","{alcohol: 'Wine-Beer', smoking_area: 'only at bar', dress_code: 'informal', accessibility: 'no_accessibility', price: 'medium', franchise: 't', area: 'closed', other_services: 'Internet'}",yes,{'cash'},{}
78,1093,135019,2,2,2,Restaurant Bar Coty y Pablo,"{street: 'Paseo de Las Fuentes 24 Pedregal de Las Fuentes', city: 'Jiutepec', state: 'Morelos', country: 'Mexico'}","{alcohol: 'No_Alcohol_Served', smoking_area: 'none', dress_code: 'informal', accessibility: 'completely', price: 'low', franchise: 'f', area: 'closed', other_services: 'none'}",none,{'any'},{'Bar'}
79,1093,134996,2,2,2,Sanborns Casa Piedra,"{street: 'Lomas del Mirador', city: 'Cuernavaca', state: 'Morelos', country: 'Mexico'}","{alcohol: 'Wine-Beer', smoking_area: 'only at bar', dress_code: 'informal', accessibility: 'no_accessibility', price: 'medium', franchise: 't', area: 'closed', other_services: 'Internet'}",yes,{'cash'},{}
